rule_file,rule_count,attack_word_list,attacked_password_file,passwords_in_password_file,cracked_passwords_count,guesses,cracked_passwords_percentage
hotmail_hac.rule,200,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,35040,1999800,35.04
hotmail_hac.rule,400,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,38534,3999600,38.54
hotmail_hac.rule,800,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,42031,7999200,42.04
hotmail_hac.rule,1200,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,42181,11998800,42.19
hotmail_hac.rule,3000,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,42681,29997000,42.69
hotmail_hac.rule,5000,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,43235,49995000,43.24
hotmail_hac.rule,6000,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,43431,59994000,43.44
matched.rule,50,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,13766,499950,13.77
matched.rule,100,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,13766,999900,13.77
matched.rule,200,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,14246,1999800,14.25
matched.rule,400,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,14246,3999600,14.25
matched.rule,800,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,14246,7999200,14.25
matched.rule,1200,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,14246,11998800,14.25
matched.rule,3000,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,15502,29997000,15.5
matched.rule,5000,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,19336,49995000,19.34
matched.rule,6000,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,21114,59994000,21.12
analysis-sorted.rule,50,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,21600,499950,21.6
analysis-sorted.rule,100,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,23335,999900,23.34
analysis-sorted.rule,200,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,25619,1999800,25.62
analysis-sorted.rule,400,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,27850,3999600,27.85
analysis-sorted.rule,800,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,30785,7999200,30.79
analysis-sorted.rule,1200,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,32737,11998800,32.74
analysis-sorted.rule,3000,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,37074,29997000,37.08
analysis-sorted.rule,5000,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,38985,49995000,38.99
analysis-sorted.rule,6000,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,39612,59994000,39.62

